Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka
"Tackaren / zavodna jedalen","ZVS holding a.s.","36305600","Sturova 925/27","Dubnica nad Vahom","Ilava","trzby 119,4 mil EUR (2024), 1000-1999 zam","","","zvsholding.sk","N2","SILNY CIEL; najvacsi zamestnavatel okresu (zbrojarstvo), velka zavodna jedalen"
"Tackaren / zavodna jedalen","STV Machinery a.s. (byv. MATADOR Industries)","31632301","Tovarenska 1","Dubnica nad Vahom","Ilava","200-249 zam; kovovyroba v ZTS areali","","","stv-machinery.sk","N2","zavodna jedalen v ZTS areali (cast stravy cez GASTRO-SERVICE)"
"Tackaren / zavodna jedalen","HF Slovakia a.s. (byv. HF NaJUS)","36294632","Lieskovec 847/124","Dubnica nad Vahom","Ilava","150-199 zam; vyroba strojov pre gumarensky priemysel","","","hfnajus.sk","N2","vacsi zavod v Dubnici, zavodne stravovanie"
"Tackaren / zavodna jedalen","Ustav na vykon trestu a vazby Ilava (ZVJS)","doplnit ORSR","Mierove namestie 1","Ilava","Ilava","kapacita 846 miest (677 odsudeni + 169 obvineni)","042/446 54 32","ustavil@zvjs.sk","zvjs.sk","N2","SILNY CIEL; vazenska kuchyna pre 846+ osob denne; ICO over (ZVJS zdiela 00738344)"
"Tackaren / zavodna jedalen","Centrum socialnych sluzieb AVE Dubnica","00632384","Sportovcov 671/23","Dubnica nad Vahom","Ilava","celorocna pobytova soc. sluzba, vlastna kuchyna","042/442 12 92","info@cssdubnica.sk","cssdubnica.sk","N2","DSS s vlastnou kuchynou, denne stravovanie klientov"
"Tackaren / zavodna jedalen","Zariadenie pre seniorov Dubina m.r.o.","00632333","Pod hajom 1291/119","Dubnica nad Vahom","Ilava","kapacita 249 klientov, trzby 6,3 mil EUR (2024)","","","dubina.org","N2","velka institucionalna kuchyna, denne stravovanie 249 klientov"
"Tackaren / zavodna jedalen","Brose Prievidza spol. s r.o.","48046434","Max Brose 2909/20","Prievidza","Prievidza","1000-1999 zam (~1300), trzby 346,6 mil EUR (2023); vlastna zavodna jedalen","","","brose.com","N5","SILNY CIEL; najvacsi automotive zavod okresu, ~1300 zam"
"Tackaren / zavodna jedalen","Nemocnica s poliklinikou Prievidza so sidlom v Bojniciach","17335795","Nemocnicna 2","Bojnice","Prievidza","spadova oblast ~140000 obyv.; ustavna nemocnica + celodenne stravovanie","","","hospital-bojnice.sk","N5","SILNY CIEL; velka okresna nemocnica, pacienti + personal"
"Tackaren / zavodna jedalen","FORTISCHEM a.s.","46693874","M. R. Stefanika 1","Novaky","Prievidza","500-999 zam; chemicky zavod so zavodnym stravovanim","","","fortischem.sk","N5","SILNY CIEL; najvacsi chemicky zavod regionu, smenne stravovanie"
"Tackaren / zavodna jedalen","VEGUM a.s.","44141211","Gumarenska 337","Dolne Vestenice","Prievidza","500-999 zam; gumarensky zavod, smenna prevadzka so stravovanim","","","vegum.sk","N5","SILNY CIEL; velky gumarensky zavod, smenne stravovanie; Dolne Vestenice = okres Prievidza"
"Tackaren / zavodna jedalen","Hornonitrianske bane Prievidza a.s. (HBP)","36005622","Matiasovce 10","Prievidza","Prievidza","trzby ~12,2 mil EUR (2024); banska firma, viacero prevadzok","","","hbp.sk","N5","tazba uhlia ukoncena 2023, firma funguje; over aktualnu kapacitu stravovania"
"Tackaren / zavodna jedalen","HELLA Slovakia Lighting s.r.o.","36325732","Svatoplukova 1550","Banovce nad Bebravou","Banovce nad Bebravou","~3000 zam (3 zavody), trzby 712,5 mil EUR; autosvietidla, zavodna jedalen","","","hella.com","N7","SILNY CIEL; najvacsi zamestnavatel okresu, masivne smenne stravovanie"
"Tackaren / zavodna jedalen","Gabor spol. s r.o.","36322067","J. Gabora 1","Banovce nad Bebravou","Banovce nad Bebravou","~1300-1800 zam; obuvnicka vyroba, zavodne stravovanie","","","gabor.sk","N7","SILNY CIEL; velky obuvnicky zavod, celodenne stravovanie zamestnancov"
"Tackaren / zavodna jedalen","MILSY a.s. (Banovecka mliekaren)","31412572","Partizanska 224/B","Banovce nad Bebravou","Banovce nad Bebravou","250-499 zam; mliekaren, zavodne stravovanie","","","banoveckamliekaren.sk","N7","velky potravinarsky zavod; zavodna jedalen, aj potencialny dodavatel mliecnych surovin"
"Tackaren / zavodna jedalen","LOWA PRODUCTION s.r.o.","31420796","Tovarenska 10","Bosany","Partizanske","~1900 zam, trzby 121,5 mil EUR; obuvnicky zavod (Tecnica Group), zavodna jedalen","","","lowa.sk","N6","SILNY CIEL; najvacsi zamestnavatel okresu Partizanske, masivne smenne stravovanie"
"Tackaren / zavodna jedalen","Medline Assembly Slovakia s.r.o.","47858168","Malobielicka 284/8","Partizanske","Partizanske","500-999 zam, trzby 82,5 mil EUR (2024); vyroba zdravotnickych pomocok","","","medline.eu","N6","SILNY CIEL; druhy najvacsi zavod okresu, rastuci, smenne stravovanie"
"Tackaren / zavodna jedalen","Nemocnica na okraji mesta n.o. (Partizanske)","45736316","Nova nemocnica 511","Partizanske","Partizanske","250-499 zam, 6 oddeleni + 18 ambulancii; celodenne stravovanie","","","pentahospitals.sk","N6","okresna nemocnica (Penta Hospitals), pacienti + personal"
"Tackaren / zavodna jedalen","Nemocnica s poliklinikou Povazska Bystrica","00610411","Nemocnicna 986/1","Povazska Bystrica","Povazska Bystrica","trzby 56,7 mil EUR (2025), lozkova nemocnica TSK","","","nemocnicapb.sk","N3","SILNY CIEL; velka lozkova nemocnica, vlastna kuchyna, pacienti + personal"
"Tackaren / zavodna jedalen","thyssenkrupp rothe erde Slovakia a.s. (ex-PSL)","31626599","Robotnicka","Povazska Bystrica","Povazska Bystrica","500-999 zam, trzby ~76,5 mil EUR (2025), vyroba lozisk","","","thyssenkrupp-rotheerde.com","N3","SILNY CIEL; velka strojarska fabrika, zavodne stravovanie"
"Tackaren / zavodna jedalen","NsP Zdravie s.r.o. (NsP Puchov)","53770668","Pod Lachovcom 1727/55","Puchov","Puchov","nemocnica s poliklinikou, viacero ambulancii + lekarne","042/460 51 11","info@nspzdravie.sk","nspzdravie.sk","N4","nemocnicne stravovanie pacientov a personalu"
"Tackaren / zavodna jedalen","Continental Tires Slovakia s.r.o. (ex-Matador Rubber)","36709557","Terezie Vansovej 1054","Puchov","Puchov","5000-9999 zam, trzby 1,751 mld EUR (2024), vyroba pneumatik","","","continental.com","N4","SILNY CIEL #1; obrovska zavodna jedalen (najvacsi zamestnavatel kraja), tisice obedov denne"
"Tackaren / zavodna jedalen","RONA a.s.","31642403","Schreiberova 365","Lednicke Rovne","Puchov","1000-1999 zam, trzby 70,72 mil EUR (2025), sklarne","","","rona.glass","N4","SILNY CIEL; velka sklarska fabrika so zavodnou jedalnou; aj vyrobca poharov pre gastro"
"Tackaren / zavodna jedalen","Vertiv Slovakia a.s. (byv. Emerson)","31411606","Piestanska 1202","Nove Mesto nad Vahom","Nove Mesto nad Vahom","trzby 267,7 mil EUR (2024), 1000-1999 zam; najvacsi zamestnavatel okresu","","","vertiv.com","N8","SILNY CIEL; 1000+ zam, najvacsia fabrika okresu, zavodna jedalen"
"Tackaren / zavodna jedalen","Elster s.r.o. (Honeywell)","31421482","nam. Dr. Alberta Schweitzera 194","Stara Tura","Nove Mesto nad Vahom","250-499 zam, vyrobca plynomerov, zavodna jedalen","","","elster.sk","N8","SILNY CIEL; velka fabrika v Starej Turej (areal Chirana), clen Honeywell"
"Tackaren / zavodna jedalen","CHIRANA T.Injecta a.s.","36794619","nam. Dr. Alberta Schweitzera 194","Stara Tura","Nove Mesto nad Vahom","trzby 23,82 mil EUR (2024), 250-499 zam; zdravotnicka technika","","","chirana.eu","N8","SILNY CIEL; historicky areal Chirana v Starej Turej, zavodne stravovanie"
"Tackaren / zavodna jedalen","Zariadenie pre seniorov Nove Mesto nad Vahom","42372984","Frana Krala 2688/4","Nove Mesto nad Vahom","Nove Mesto nad Vahom","kapacita 92 lozok, 24h prevadzka s vlastnou kuchynou","","","zpsnm.sk","N8","celodenne stravovanie 92 klientov + zamestnanci (mestska org.)"
"Tackaren / zavodna jedalen","Nemocnica s poliklinikou Myjava","00610721","Staromyjavska 712/59","Myjava","Myjava","vynosy 17,28 mil EUR (2025), lozkove oddelenia, vlastna nemocnicna kuchyna","034/697 91 11","","nspmyjava.sk","N9","SILNY CIEL; jedina nemocnica okresu, najvacsi odberatel potravin v okrese"
"Tackaren / zavodna jedalen","C.E.P. Scherdel Pruziny spol. s r.o.","31445012","Javorinska 1200/4","Myjava","Myjava","200-249 zam, vyroba pruzin a kovovych dielov, zavodna jedalen","","","scherdel.sk","N9","SILNY CIEL; najvacsi priemyselny zamestnavatel v meste Myjava"
"Velka restauracia / banketova sala","Hotel Elizabeth (SYNOT GASTRO SLOVAKIA)","36690805","Gen. M. R. Stefanika 2","Trencin","Trencin","trzby 8,6 mil EUR (2024); kongresova sala 180 miest, restauracia + Cafe Sissi, 78 izieb","","","hotelelizabeth.sk","N1","SILNY CIEL; 4* hotel, najvacsia kongresova/banketova sala v centre Trencina"
"Velka restauracia / banketova sala","Hotel Magnus (NLK GROUP)","doplnit ORSR","Vodna 7","Trencin","Trencin","kongresova miestnost 120 miest + dalsie saly, restauracia + wellness + bowling","","","hotelmagnus.sk","N1","4* hotel, kongresove priestory do 120 miest; ICO prevadzkovatela over"
"Velka restauracia / banketova sala","Kupele Bojnice a.s.","31638694","Kupele 1","Bojnice","Prievidza","250-499 zam, trzby 18,68 mil EUR (2024); kupelny areal, viacero jedalni (Lysec, Banik, Mier)","","","kupele-bojnice.sk","N5","SILNY CIEL; velkokapacitne celodenne stravovanie hosti kupelov"
"Velka restauracia / banketova sala","RM Hotel Wellness & Congress (LK Consulting SK)","45920397","Uzka 418/4","Prievidza","Prievidza","4* hotel, kongresova sala do 100 osob + restauracia","","","rmhotel.sk","N5","najvacsi kongresovo-banketovy hotel v Prievidzi; svadby, firemne akcie, catering"
"Velka restauracia / banketova sala","Hotel Gino Park Palace (EUROCOM & Co)","35761172","Orlove 116","Povazska Bystrica","Povazska Bystrica","banket atrium + stan do 250 osob, hl. sala 80, 4* hotel","042/445 96 00","info@parkpalace.sk","parkpalace.sk","N3","SILNY CIEL; najvacsia banketova kapacita v okrese (250); sidlo firmy v BA, prevadzka Orlove"
"Velka restauracia / banketova sala","ALEXANDRA HOTEL s.r.o.","36845981","Dvory 581","Puchov","Puchov","kongres/banket do 280 osob, 4* hotel","","","alexandrahotel.sk","N4","SILNY CIEL; najvacsia kongresova/svadobna sala v Puchove (280 miest)"
"Velka restauracia / banketova sala","Sisi Rent s.r.o. (SISI Gardens)","52078825","Strezenicka cesta 45","Puchov","Puchov","svadobna sala do 130 osob + zahradna terasa","","","sisigardens.sk","N4","svadobna/eventova sala 130 miest, ubytovanie + stravovanie"
"Velka restauracia / banketova sala","Mestske kulturne stredisko Nove Mesto nad Vahom","00350702","Hviezdoslavova 4","Nove Mesto nad Vahom","Nove Mesto nad Vahom","spolocenska sala 164 miest + balkon 60; prispevkova org. mesta","","riaditelka@msks.sk","msks.sk","N8","najvacsia banketova/spolocenska sala v meste; catering externe"
"Velka restauracia / banketova sala","Sprava majetku Mesta Myjava s.r.o. (KD Samka Dudika)","36268071","M. R. Stefanika 560/4","Myjava","Myjava","velka sala 609 miest (prizemie 428 + balkon 181) + spolocenska sala + VIP salonik","034/621 33 89","","smmm.sk","N9","najvacsia banketova/kongresova sala v okrese; externy catering"
"Velka restauracia / banketova sala","Agropenzion ADAM Podkylava (TBS a.s.)","36303241","Podkylava 916","Podkylava","Myjava","53 lozok, 3 gastroprevadzky (Koliba Eva), kongresova sala + salon, wellness","032/777 21 11","","penzion-adam.sk","N9","ubytovaco-eventove zariadenie; svadby/firemne/kongresy; ICO patri prevadzkovatelovi TBS a.s. - over ORSR"
"Restauracna siet (3+ prevadzok)","Cinska restauracia Zlaty Lotos","doplnit ORSR","doplnit","Povazska Bystrica","Povazska Bystrica","siet 3 prevadzok (Povazska Bystrica, Puchov, Dubnica nad Vahom)","","","cinskejedlo.sk","N3","retazec 3 prevadzok, uvedene na sidle PB; ICO nezistene z verejnych zdrojov"
"Restauracna siet (3+ prevadzok)","COOP Jednota Prievidza spotrebne druzstvo","00169005","A. Hlinku I. 437","Prievidza","Prievidza","velke spotrebne druzstvo, viacero retail + gastro prevadzok (bufety/jedalne)","","","coopprievidza.sk","N5","sidlo druzstva; viacero gastro prevadzok; analogia ku COOP Jednota Trnava"
